температура;влажность;продажи
17;41;93
17;79;96
17;73;97
18;64;101
18;80;102
18;67;104
19;60;115
19;76;103
22;55;135
22;65;119
23;48;144
23;78;137
23;58;136
23;42;148
23;83;139
19;64;105
19;80;119
19;81;110
27;50;178
27;79;159
27;55;180
27;80;165
28;66;175
28;50;189
20;61;123
20;72;121
20;49;135
20;44;124
20;80;118
21;51;131
21;52;120
17;54;101
17;79;95
17;47;99
18;67;99
28;65;190
28;77;178
28;50;184
22;69;141
22;66;132
22;78;142
22;51;135
22;43;143
21;54;139
21;46;127
21;69;122
24;65;151
24;63;155
24;62;147
24;80;148
23;55;140
23;75;143
25;68;164
25;66;162
26;62;155
23;59;142
23;48;149
23;57;149
21;67;137
21;61;131
22;44;139
23;73;152
21;64;133
21;44;109
26;56;170
26;66;174
27;76;188
25;71;160
25;41;166
25;68;146
24;52;135
24;43;151
25;77;160
26;80;174
26;42;171
22;60;139
25;77;159
25;44;159
24;67;154
24;70;145
24;71;152
26;70;166
26;46;169
26;63;159
25;47;166
25;67;164
26;50;161
19;65;116
19;74;124
19;53;107
19;59;112
20;55;105
20;42;132
18;56;105
18;64;99
18;79;98
19;82;110
19;80;112
26;65;163
26;68;153
